attribute,entity,google_def,business_def
HRMNZD_CUST_GRPNG_NM,dim_customer,Short Description:,"This attribute stores the grouping name of customers in the Retail CPG data systems. It is used to categorize customers into different groups based on certain criteria, such as their purchasing behavior, demographics, or loyalty program status. The grouping name helps in customer segmentation and targeted marketing campaigns, allowing for more personalized and effective communication with different customer segments."
CSTM_HRCHY_LVL_1_NM,dim_customer,Short Description:,"The CSTM_HRCHY_LVL_1_NM field in the dim_customer table stores the first level of the customer hierarchy name in the Retail CPG data systems. It represents the highest level of customer segmentation or categorization. This field contains the name or label assigned to each customer group or segment at the top level of the hierarchy. The purpose of this field is to provide a way to organize and group customers based on their characteristics or behaviors, allowing for easier analysis and targeted marketing efforts."
CUST_LOCL_ATRBT_2_NM,dim_customer,Short Description:,"This attribute stores the second local attribute name associated with the customer in the Retail CPG data systems. It provides additional information about the customer that is specific to the local context, such as local preferences, local purchase history, or local demographic information. This attribute helps in understanding and analyzing customer behavior and preferences at a local level, enabling targeted marketing campaigns and personalized recommendations based on the specific needs and preferences of customers in different locations."
CUST_LOCL_ATRBT_3_NM,dim_customer,Short Description:,"This attribute stores the third local attribute name associated with the customer in the Retail CPG data systems. It provides additional information about the customer that is specific to the local context, such as local preferences, local purchase history, or local demographic information."
CUST_LOCL_ATRBT_4_NM,dim_customer,Short Description:,"This attribute stores the fourth local attribute name associated with the customer in the Retail CPG data systems. It provides additional information about the customer that is specific to their local context, such as local preferences, local purchase history, or local demographic information."
SYS_ID,dim_salesgeo,Short Description:,The SYS_ID attribute in the dim_salesgeo table is a unique identifier assigned to each sales geography record. It is used to uniquely identify and reference a specific sales geography within the retail CPG data systems.
SUB_SYS_ID,dim_salesgeo,Short Description:,"The SUB_SYS_ID attribute in the dim_salesgeo table represents the unique identifier for a specific sales geography within the retail CPG data systems. It is used to distinguish and identify different sales geographies such as regions, countries, states, cities, and store locations. This attribute allows for the categorization and organization of sales data based on different geographical levels, enabling analysis and reporting at various levels of granularity."
CTRY_ISO_CDV,dim_salesgeo,Short Description:,"The CTRY_ISO_CDV attribute in the dim_salesgeo table stores the ISO country code for each sales geography. It is used to uniquely identify different countries within the retail CPG data systems. The ISO country code is a standardized code assigned to each country by the International Organization for Standardization (ISO). This attribute allows for the categorization and organization of sales data based on different countries, enabling analysis and reporting at the country level of granularity. It is useful for tracking sales performance, market trends, and making informed business decisions specific to each country."
YR,dim_time,Short Description:,"The YR attribute in the dim_time table represents the year component of a specific date. It stores the numerical value of the year, allowing users to track and analyze retail metrics over time based on the year. This attribute is useful for conducting year-over-year comparisons, identifying trends, and understanding the performance of sales, inventory, and promotions in different years."
WK,dim_time,Short Description:,"The ""WK"" attribute in the dim_time table represents the week number in the Retail CPG data systems. It provides information about the specific week within a year. This attribute is useful for tracking and analyzing sales, inventory, promotions, and other retail metrics on a weekly basis. It allows users to identify trends and patterns that occur within a particular week, enabling them to make informed decisions and strategies based on weekly performance."
VRSN,dim_time,Short Description:,"The VRSN attribute in the dim_time table of Retail CPG data systems represents the version of the data. It contains information about the specific version or release of the data that is being used for analysis and reporting. This attribute is useful for tracking changes and updates made to the data over time, ensuring data integrity, and providing a reference for historical analysis."
LOCL_CRNCY_CDV,dim_finance,Short Description:,"The LOCL_CRNCY_CDV attribute in the dim_finance table represents the local currency code for the financial data related to the Retail CPG industry. It indicates the currency in which the sales revenue, expenses, profit margins, and financial ratios are recorded. This attribute is used to ensure consistency and accuracy in financial reporting and analysis."
GTM_DESC,dim_gotomarket,Short Description:,"The GTM_DESC attribute in the dim_gotomarket table stores a short description of each go-to-market strategy used in the Retail CPG data systems. It provides a brief explanation or summary of the strategy, allowing users to quickly understand the nature and approach of each strategy. This information helps in identifying and categorizing different strategies used for distributing products to the market."
GTM_HRCHY_LVL_1_NM,dim_gotomarket,Short Description:,The GTM_HRCHY_LVL_1_NM attribute in the dim_gotomarket table refers to the first level of the go-to-market hierarchy in the Retail CPG data systems. It represents the top-level category or classification of the go-to-market strategy used for distributing products to the market. This attribute provides a high-level overview of the different strategies implemented in the Retail CPG data systems and helps in categorizing and analyzing the effectiveness or performance of each strategy at a broader level.
GTM_HRCHY_LVL_2_NM,dim_gotomarket,Short Description:,GTM_HRCHY_LVL_2_NM is an attribute in the dim_gotomarket table of the Retail CPG data system. It represents the second level of hierarchy in the go-to-market strategy. This attribute contains the name of the specific category or segment within the go-to-market strategy. It helps in categorizing and organizing the different strategies used for distributing products to the market.
PROD_HRCHY_LVL_2_NM,dim_product,Short Description:,"The PROD_HRCHY_LVL_2_NM attribute in the dim_product table stores the second level hierarchical name of the product category in the Retail CPG data systems. It provides information about the specific category to which a product belongs, allowing for efficient categorization and analysis of products in the retail industry."
PROD_HRCHY_LVL_3_NM,dim_product,Short Description:,"This attribute in the dim_product table represents the third level of the product hierarchy in the Retail CPG data systems. It contains the name or label of the product's subcategory within its category. This information helps in organizing and categorizing products for catalog management, sales and inventory analysis, pricing and promotions, and product recommendations."
PROD_LOCL_ATRBT_1_NM,dim_product,Short Description:,PROD_LOCL_ATRBT_1_NM is an attribute in the dim_product table that stores a local attribute related to a product in the Retail CPG data systems. It contains specific information or characteristics about the product that are relevant to the local market or location. This attribute allows retailers to customize and tailor product information based on the specific needs and preferences of different regions or locations.
LOCL_ORG_L1_NM,dim_localorg,Short Description:,The LOCL_ORG_L1_NM attribute in the dim_localorg table stores the level 1 name of the local organization within the retail industry. It represents the primary name or title associated with the local organization. This field helps in identifying and distinguishing different local organizations within the retail CPG data systems.
LOCL_ORG_HRCHY_LVL_1_NM,dim_localorg,Short Description:,This attribute stores the name of the local organization at hierarchy level 1 in the Retail CPG data systems. It provides information about the primary level of organization within the hierarchy structure.
LOCL_ORG_HRCHY_LVL_3_NM,dim_localorg,Short Description:,This attribute in the dim_localorg table represents the name of the local organization at hierarchy level 3 in the retail CPG data systems. It provides information about the specific level of the organization within the hierarchy and helps in organizing and categorizing the local organizations based on their hierarchical structure.
