Importance,Bronze Layer Column,Source Column from Input/PPA,Mapping logic,Alternative names,Explanation
Must Have,COGS_AMOUNT,COGS/unit,Direct pull,COGS/unit,"The main parameter mentioned is Cost of Goods Sold (COGS). In the context of a CPG company's PPA data, COGS represents the direct costs incurred to produce a product, including labor, materials, and overhead, which is crucial for determining product profitability and pricing strategy. This data point is essential for financial analysis and decision-making, as it directly impacts the company's bottom line.

Cost of Goods Sold.  All direct costs needed to produce a product for sale."
Must Have,BB_DSCNT_AMT,SCAN,Direct pull,Coupon,"The main parameter mentioned is the allowance amount approved by the business, specifically the BB_DSCNT_AMT (Bill Back Discount Amount) paid by PepsiCo to the retailer when a promotion is scanned. This data point is crucial in tracking the financial transactions between PepsiCo and its retailers, enabling accurate reimbursement for promotional activities. In the context of PPA mapping, this data helps to reconcile the promotional spend with the actual sales data, ensuring that PepsiCo's trade promotion strategies are effectively executed and measured.

This is the allowance amount approved by the business paid by PepsiCo to the retailer when a promotion is Scanned. The retailer sends an invoice back to PepsiCo as dues to be paid by PepsiCo for only the count of products which triggered the promotion conditions. "
Must Have,CRNCY_CDV,,hard code,,"The main parameter mentioned in the explanation is the ""Currency Code"". In the context of a CPG company's PPA data, the Currency Code is a crucial element for financial transactions and pricing strategies, as it enables the company to manage multiple currencies across different regions and markets. This data point is essential for accurate financial reporting, invoicing, and revenue analysis.

Currency Code"
Must Have,CTRY_CDV,,hard code,,"The main parameter mentioned in the explanation is ""Country Code"". In the context of a CPG company's PPA data, the Country Code is a crucial piece of information that identifies the country of origin or destination for a product, which is essential for logistics, taxation, and regulatory compliance purposes. This code is likely used to map product distribution and sales data across different regions and countries.

Country Code"
Must Have,DSCNT_AMT,EDLP Trade,Direct pull,,"The main parameter mentioned in the explanation is EDLP (Everyday Low Price) Trade, a pricing strategy in the CPG industry where a flat discount is offered to certain products, deducted directly from the invoice, unaffected by promotions. This data point is crucial in understanding the pricing architecture of the company, as it influences the final cost of products to customers. In the context of PPA mapping, this data helps in accurately calculating the net sales and revenue, enabling better financial analysis and decision-making.

Definition - EDLP is a flat discount given to certain PPGs, off invoice regardless of any promotions "
Must Have,PRMTN_ALWNC_DSCNT_AMT,"PA
Promo",Direct pull,Retro / Unit,"The main parameter mentioned in the explanation is Promotional Allowance (PA), a type of price reduction offered to retailers as an incentive to display and feature specific Frito-Lay items. In the context of PPA mapping, PA is a key component of the Net Cost Sheet, derived from Off Invoice (OI) discounts, which are applied to all units loaded, regardless of scanning. This data point is crucial for accurately calculating the net cost of goods and understanding the financial impact of promotional activities on sales and revenue.

Promotional allowance.  Price reductions that Customers(retailers) sometimes receive as incentives to display and feature specific Frito-Lay items.  PA is derived from OI (off invoice) on the Net Cost Sheet.  Off invoice (OI) is the discount given off invoice.  OI is received on all units loaded in, regardless of whether they scanned or not."
Must Have,MCHNC_NM,,hard code,,"The main parameter mentioned in the explanation is the ""Mechanic name"". In the context of CPG PPA data, the Mechanic name refers to a specific promotional mechanic or tactic used to drive sales, such as ""Buy One Get One Free"" or ""10% Off"". This data point is crucial in understanding the type of promotion being offered, which can impact pricing, packaging, and overall marketing strategy.

Mechanic name"
Must Have,MCHNC_PRC_AMT,Promo Price,Direct pull,"
Deal,Promotion
Feature_Price","The main parameter mentioned in the explanation is the ""promoted price"". In the context of CPG PPA data, the promoted price refers to the temporary discounted price offered to customers during a promotional period, which is a key pricing strategy to drive sales and increase market share. This data point is crucial for analyzing the effectiveness of promotional campaigns and informing future pricing decisions.

promoted price"
Must Have,MCHNC_PRC_PER_UNIT_AMT,Promo Price per unit,calculated,"
Feature_Price,Retail,ISP - Base/ Deal","The main parameter mentioned in the explanation is the ""Promo Price per unit"", which is a crucial metric in the CPG industry for calculating the price of a single unit during promotional periods. This data point is essential for analyzing the effectiveness of promotions and understanding the revenue impact on the business. In the context of PPA mapping, this field is used to calculate the promoted price of a single unit, enabling accurate revenue management and pricing strategy optimization.

Promo price / promo qty - promoted price of a single unit"
Must Have,MCHNC_PRC_QTY,Promo Qty,Direct pull,"Deal
Promotion
Event","The main parameter mentioned in the explanation is the quantity required to purchase in order to be eligible for a promotion. In the context of CPG PPA data, this refers to the minimum quantity of a product that a customer must buy to qualify for a promotional offer, such as a discount or buy-one-get-one-free deal. This data point is crucial for tracking and analyzing the effectiveness of promotional campaigns and optimizing pricing strategies.

Quantity to purchase to get a promotion"
